candidate_idx,max_prob,t_max_s,mean_prob,p95_prob,frames,bpm,subdivision,pulse_kind,carrier_hz,burst_ms,decay_ms,noise_low_hz,noise_high_hz,rms,frames_ge_0p97,detections_ge_0p97,frames_ge_0p99,detections_ge_0p99,frames_ge_0p995,detections_ge_0p995,frames_ge_0p996,detections_ge_0p996,frames_ge_0p999,detections_ge_0p999
416,0.984375,4.21,0.1502343714237213,0.6060546874999959,600,120,1,noise,350,12,60,1500,5500,0.03,3,1,0,0,0,0,0,0,0,0
420,0.984375,0.12,0.2807096242904663,0.8828125,600,120,1,noise,700,6,25,900,5500,0.03,6,2,0,0,0,0,0,0,0,0
497,0.984375,3.61,0.3410937488079071,0.9453125,600,120,1,hybrid,700,12,25,900,3500,0.01,13,3,0,0,0,0,0,0,0,0
26,0.9765625,3.5,0.10733073204755783,0.5,600,90,1,noise,350,12,60,900,3500,0.03,1,1,0,0,0,0,0,0,0,0
29,0.9765625,1.97,0.34621745347976685,0.8828125,600,90,1,noise,350,12,60,1500,3500,0.01,1,1,0,0,0,0,0,0,0,0
46,0.9765625,2.38,0.3015950620174408,0.8359375,600,90,1,noise,700,6,60,1500,3500,0.03,2,1,0,0,0,0,0,0,0,0
48,0.9765625,5.63,0.1461523473262787,0.8382812499999979,600,90,1,noise,700,6,60,1500,5500,0.03,1,1,0,0,0,0,0,0,0,0
52,0.9765625,2.35,0.28707030415534973,0.8828125,600,90,1,noise,700,12,25,900,5500,0.03,1,1,0,0,0,0,0,0,0,0
63,0.9765625,5.44,0.18947266042232513,0.7734375,600,90,1,noise,700,12,60,1500,5500,0.01,1,1,0,0,0,0,0,0,0,0
114,0.9765625,2.84,0.3188606798648834,0.8828125,600,90,1,hybrid,700,12,25,900,3500,0.03,1,1,0,0,0,0,0,0,0,0
116,0.9765625,1.45,0.2704166769981384,0.8382812499999979,600,90,1,hybrid,700,12,25,900,5500,0.03,1,1,0,0,0,0,0,0,0,0
170,0.9765625,5.05,0.11824218928813934,0.6015625,600,90,1,tone,700,6,60,900,3500,0.03,1,1,0,0,0,0,0,0,0,0
172,0.9765625,5.05,0.11824218928813934,0.6015625,600,90,1,tone,700,6,60,900,5500,0.03,1,1,0,0,0,0,0,0,0,0
174,0.9765625,5.05,0.11824218928813934,0.6015625,600,90,1,tone,700,6,60,1500,3500,0.03,1,1,0,0,0,0,0,0,0,0
176,0.9765625,5.05,0.11824218928813934,0.6015625,600,90,1,tone,700,6,60,1500,5500,0.03,1,1,0,0,0,0,0,0,0,0
196,0.9765625,5.07,0.22543619573116302,0.7734375,600,90,2,noise,350,6,25,900,5500,0.03,2,1,0,0,0,0,0,0,0,0
206,0.9765625,5.39,0.11430338770151138,0.69140625,600,90,2,noise,350,6,60,1500,3500,0.03,1,1,0,0,0,0,0,0,0,0
212,0.9765625,3.74,0.2079622447490692,0.8359375,600,90,2,noise,350,12,25,900,5500,0.03,1,1,0,0,0,0,0,0,0,0
305,0.9765625,1.06,0.05055989697575569,0.30859375,600,90,2,hybrid,700,12,25,900,3500,0.01,1,1,0,0,0,0,0,0,0,0
398,0.9765625,4.23,0.20386718213558197,0.7734375,600,120,1,noise,350,6,60,1500,3500,0.03,1,1,0,0,0,0,0,0,0,0
400,0.9765625,3.23,0.18593749403953552,0.8359375,600,120,1,noise,350,6,60,1500,5500,0.03,4,1,0,0,0,0,0,0,0,0
404,0.9765625,4.6000000000000005,0.29522785544395447,0.91796875,600,120,1,noise,350,12,25,900,5500,0.03,7,1,0,0,0,0,0,0,0,0
414,0.9765625,0.23,0.24406249821186066,0.8359375,600,120,1,noise,350,12,60,1500,3500,0.03,3,3,0,0,0,0,0,0,0,0
415,0.9765625,0.23,0.10292317718267441,0.3984375,600,120,1,noise,350,12,60,1500,5500,0.01,1,1,0,0,0,0,0,0,0,0
427,0.9765625,5.44,0.24856120347976685,0.7734375,600,120,1,noise,700,6,60,900,5500,0.01,4,1,0,0,0,0,0,0,0,0
428,0.9765625,0.47000000000000003,0.19470052421092987,0.8359375,600,120,1,noise,700,6,60,900,5500,0.03,1,1,0,0,0,0,0,0,0,0
485,0.9765625,0.1,0.13819661736488342,0.69140625,600,120,1,hybrid,700,6,25,1500,3500,0.01,1,1,0,0,0,0,0,0,0,0
500,0.9765625,1.21,0.3896940052509308,0.9453125,600,120,1,hybrid,700,12,25,900,5500,0.03,2,2,0,0,0,0,0,0,0,0
9,0.9609375,5.49,0.23776692152023315,0.8359375,600,90,1,noise,350,6,60,900,3500,0.01,0,0,0,0,0,0,0,0,0,0
10,0.9609375,0.15,0.10261067748069763,0.6015625,600,90,1,noise,350,6,60,900,3500,0.03,0,0,0,0,0,0,0,0,0,0
17,0.9609375,0.84,0.3968815207481384,0.8828125,600,90,1,noise,350,12,25,900,3500,0.01,0,0,0,0,0,0,0,0,0,0
21,0.9609375,4.26,0.1888085901737213,0.6015625,600,90,1,noise,350,12,25,1500,3500,0.01,0,0,0,0,0,0,0,0,0,0
31,0.9609375,0.39,0.17432942986488342,0.6015625,600,90,1,noise,350,12,60,1500,5500,0.01,0,0,0,0,0,0,0,0,0,0
35,0.9609375,2.77,0.36444661021232605,0.8828125,600,90,1,noise,700,6,25,900,5500,0.01,0,0,0,0,0,0,0,0,0,0
